timestamp,network,address,token,amount,tickets,tx
Oct-16-2023 08:56:11 PM +UTC,optimism,0x4ca2a670bd5505b870b21331a53d9bb4ae6e2084,eth,0.009,3,0x8ff718a588ceef03f271c334171187480e7db5814351647037d66ac7aa02d6c5
Oct-16-2023 09:51:15 PM +UTC,polygon,0xC57ffA37f995dCBA24f93b427D36c72Eed6CF84a,usdc.e,15,3,0xe25b5c6e06bf1e6aa9fece9d1dc856f3e92a889e954fd64c3d8dae495e06f453
Oct-16-2023 10:00:55 PM +UTC,optimism,0x4399fa85585f90da110d5ba150ff96c763bc0aba,usdc.e,4.9994,1,0xdd04c381e608adebc1d74b9573a9049027ccdf33cda53e64c48aecedca967668
Oct-16-2023 10:19:19 PM +UTC,polygon,0xFD5c1C3d086a9CC0f21beaB6ddE3900C9351FC59,usdt,5,1,0x88243aa2cd73124ca81a9610529ed162d4cc15d6d2f15dfd75960d8bfea4c32c
Oct-16-2023 11:00:59 PM +UTC,ethereum,0xA775C775fEB740D15dA78d572A1CACcbCcc7A0f6,usdt,5,1,0x8594f9c877ba371db2a15eac7c8a847c13eed4297207a23e43f709737302efed
Oct-16-2023 11:19:55 PM +UTC,polygon,0x9cc56C62EB4f1665540BbcE96F97f458a8FC3282,usdt,5,1,0xc51bdae8ab9323d30efbf22fafac11a17b48f0787ce06768e4264ad9d6738559
Oct-16-2023 11:38:45 PM +UTC,polygon,0xFD5c1C3d086a9CC0f21beaB6ddE3900C9351FC59,usdt,7.554732,1,0x40a254102d5bf3c352d8c7f9b0d8254fbddf5cb99f2e485ac3cf73117d9367ef
Oct-17-2023 04:23:39 AM +UTC,polygon,0x89B36315E6f2C102EF06943433Ff394c51E7C0B6,usdc.e,5,1,0x803997c1233ee6e7249b9d0da2cfd901662305fe05fdaeae0a74b5999999df6d
Oct-17-2023 03:12:47 PM +UTC,optimism,0x2f6b67a9e7ca9f025b786e455261efe3c65ff7e8,usdc.e,5.01,1,0x8ff46907f3604ee1708f18c6ce3ac1a7fb9925dd507e38e0b0eb9d190a5b59a7
Oct-17-2023 04:01:00 PM +UTC,polygon,0xC141D2deC3342E2da1B89a616C62cA6D2162F254,usdc.e,11,2,0xda510ec282a9da50f645ee0cb1879bd2eeb740b1159ba2f13da200678dbc7d88
Oct-17-2023 04:38:01 PM +UTC,optimism,0x2ad91063e489cc4009df7fee45c25c8be684cf6a,usdc,50,10,0x26c4eeea57e609dc287943bc877aad333405485947b95e0006405a762ebee39f
Oct-17-2023 08:06:35 PM +UTC,ethereum,0x9C890bBd1b8F2628969eB24Ac3963D6FB2d0515A,eth,0.009,3,0xe9b7e2872c4fb958780b86303ccb6838977d82d8eddb55afaa26d56f86e04c5d
Oct-19-2023 02:34:47 PM +UTC,ethereum,0xf21b24E6D87C7e5dEC3e419551829F6B39dBB807,eth,0.003,1,0x690f59651c557c3bbcf135c953358f42779b8a1becfd054376e7aeff600b7962
Oct-19-2023 05:01:33 PM +UTC,optimism,0x4623a39fea4d516f89a7dafa95d30e82672ffc97,usdt,10,2,0x41ca75ad1e7b3cd3395464cc112c6c5ec3cd487bf36748ed1b3c2e8aa882d212
Oct-23-2023 10:25:08 PM +UTC,polygon,0x8c27a0cEe85C51FB9e7BFFE09d7445053D719f2e,usdc.e,5,1,0x976d8604e5fb30f0b8179530d8bbda6209e2efc9dae9fa3d595c7e0457e5efe1
Oct-24-2023 09:49:21 PM +UTC,polygon,0x914a7F893c3f7a7C0067Fad1312C1bD630009159,usdc.e,30,6,0x5bc59ca84d2627cc1f33f1521e9b013ad04d79fccabfb1c7966673e4acab6e30
Oct-25-2023 10:30:02 PM +UTC,polygon,0x290275e3db66394C52272398959845170E4DCb88,usdt,20,4,0x0ba8178bad26dbddd1111f3b8d5017c4e90b9ab9e7e7023972ca173c87cb62a5
Oct-26-2023 03:11:23 AM +UTC,polygon,0xFE018D616078D66313b37F386F4BdE9805cb213A,dai,20.09,4,0x20cf7fc46126dc87e9a380074022ea4813c569798227014750bb551044b5e41e
Oct-26-2023 01:53:03 PM +UTC,polygon,0x290275e3db66394C52272398959845170E4DCb88,usdt,10,2,0xd0b8a59c909a763f2353ee19feebf299fdb3401bac1cf010e6957dd2b6aa6bf7
Oct-26-2023 08:43:23 PM +UTC,ethereum,0xab468Aec9bB4b9bc59b2B2A5ce7F0B299293991f,eth,0.018,6,0xb5c118564435b7b271e3cd7a537b0653bbee761831400e1b1a2a3898b4c3401d
,,,,,,
,,,,,,
,,,,,54,
